alto,ancho,autor,autora,autores,estado,fecha,lugar_produccion,materia,numero_catalogo,procedencia,serie,soporte,tecnica,titulo,url
249,327,Anónimo,0,0,0,Siglo XII,0,0,P007269,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Parte superior del Pantocrátor sostenido por cuatro ángeles. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/parte-superior-del-pantocrator-sostenido-por/a331fb54-a6d4-4732-8509-daf462aa92bb
249,327,Anónimo,0,0,0,Siglo XII,0,0,P007270,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Parte inferior del Pantocrátor. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/parte-inferior-del-pantocrator-pintura-mural-de/c6906e66-1285-4dc9-b203-929966e4354e
200,263,Anónimo,0,0,0,Siglo XII,0,0,P007271,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,La Magdalena. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/mary-magdalene-hermitage-of-vera-cruz-maderuelo/0ad8f53d-8249-40b0-9e75-73d59f0ec014
200,185,Anónimo,0,0,0,Siglo XII,0,0,P007272,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Adoración de un Rey Mago. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/adoracion-de-un-rey-mago-pintura-mural-de-la/ee612310-a1b0-4b21-b40c-52538f31855e
185,243,Anónimo,0,0,0,Siglo XII,0,0,P007273,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Dos apóstoles y el resto de un tercero. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/dos-apostoles-y-el-resto-de-un-tercero-pintura/c73c8574-3607-4efb-90fc-5fc6a888b34b
185,220,Anónimo,0,0,0,Siglo XII,0,0,P007274,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Dos apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/dos-apostoles-pintura-mural-de-la-ermita-de-la/0cd8b144-33ad-4793-a384-40a31d28fab6
200,200,Anónimo,0,0,0,Siglo XII,0,0,P007275,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Caín (o Melquisedec) presentando ofrenda. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/cain-o-melquisedec-presentando-ofrenda-pintura/80637fe6-9592-4afa-a11c-bf4da3e0411f
200,245,Anónimo,0,0,0,Siglo XII,0,0,P007276,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Abel presentando ofrendas. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/abel-presentando-ofrendas-pintura-mural-de-la/85ce4ccb-b34c-40fc-8e3d-4fa044f0e140
140,75,Anónimo,0,0,0,Siglo XII,0,0,P007277,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Intradós de ventana. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/intrados-de-ventana-pintura-mural-de-la-ermita-de/bed9ff9c-1276-4578-b8d3-e38794ee751e
181,283,Anónimo,0,0,0,Siglo XII,0,0,P007278,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",Pintura mural de la ermita de la Vera Cruz de Maderuelo.,Revestimiento mural trasladado a lienzo,Pintura al fresco,Dos ángeles y un santo arzobispo. Pintura mural de la ermita de la Vera Cruz de Maderuelo,https://www.museodelprado.es/coleccion/obra-de-arte/dos-angeles-y-un-santo-arzobispo-pintura-mural-de/d1dfbd36-33dc-437b-a147-565ecaff81a8
