"numero_catalogo","titulo","url","nombre_autor","procedencia","fecha","alto","ancho","exito","razon","area","tam_cat","orientacion","soporte","soporte_grp","sop_montaje","tecnica","tec_oleo","tec_acuosas","tec_mixta","tec_fresco","tec_otras","tipo_autor","serie","fecha_est","fecha_cat","tema"
"P007269","Parte superior del Pantocrátor sostenido por cuatro ángeles. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/parte-superior-del-pantocrator-sostenido-por/a331fb54-a6d4-4732-8509-daf462aa92bb","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948","Siglo XII",249,327,0,1.31325301204819,81423,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007270","Parte inferior del Pantocrátor. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/parte-inferior-del-pantocrator-pintura-mural-de/c6906e66-1285-4dc9-b203-929966e4354e","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",249,327,0,1.31325301204819,81423,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007271","La Magdalena. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/mary-magdalene-hermitage-of-vera-cruz-maderuelo/0ad8f53d-8249-40b0-9e75-73d59f0ec014","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",200,263,0,1.315,52600,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007272","Adoración de un Rey Mago. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/adoracion-de-un-rey-mago-pintura-mural-de-la/ee612310-a1b0-4b21-b40c-52538f31855e","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",200,185,0,1.08108108108108,37000,"grande","vertical","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007273","Dos apóstoles y el resto de un tercero. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/dos-apostoles-y-el-resto-de-un-tercero-pintura/c73c8574-3607-4efb-90fc-5fc6a888b34b","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",185,243,0,1.31351351351351,44955,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007274","Dos apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/dos-apostoles-pintura-mural-de-la-ermita-de-la/0cd8b144-33ad-4793-a384-40a31d28fab6","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",185,220,0,1.18918918918919,40700,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007275","Caín (o Melquisedec) presentando ofrenda. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/cain-o-melquisedec-presentando-ofrenda-pintura/80637fe6-9592-4afa-a11c-bf4da3e0411f","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",200,200,0,1,40000,"grande","cuadrado","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007276","Abel presentando ofrendas. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/abel-presentando-ofrendas-pintura-mural-de-la/85ce4ccb-b34c-40fc-8e3d-4fa044f0e140","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",200,245,0,1.225,49000,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007277","Intradós de ventana. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/intrados-de-ventana-pintura-mural-de-la-ermita-de/bed9ff9c-1276-4578-b8d3-e38794ee751e","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",140,75,0,1.86666666666667,10500,"mediano","vertical","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
"P007278","Dos ángeles y un santo arzobispo. Pintura mural de la ermita de la Vera Cruz de Maderuelo","https://www.museodelprado.es/coleccion/obra-de-arte/dos-angeles-y-un-santo-arzobispo-pintura-mural-de/d1dfbd36-33dc-437b-a147-565ecaff81a8","Anónimo","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","Siglo XII",181,283,1,1.56353591160221,51223,"grande","horizontal","Revestimiento mural trasladado a lienzo","Mural",1,"Pintura al fresco",0,0,0,1,0,"anonimo",1,1150,"99","religioso"
