"exito","area","tam_cat","orientacion","soporte_grp","sop_montaje","tecnica","tipo_autor","serie","fecha_est","fecha_ancho","tema"
"0",81423,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",81423,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",52600,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",37000,"grande","vertical","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",44955,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",40700,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",40000,"grande","cuadrado","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",49000,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",10500,"mediano","vertical","Mural","1","otras","anonimo","1",1150,99,"religioso"
"1",51223,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",38734,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",44600,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",44600,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"1",58520,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",46872,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",35910,"grande","vertical","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",52060,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",42021,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",48517,"grande","horizontal","Mural","1","otras","anonimo","1",1150,99,"religioso"
"0",22713,"grande","vertical","Mural","1","otras","anonimo","1",1125,0,"religioso"
"0",27675,"grande","vertical","Mural","1","otras","anonimo","1",1125,0,"religioso"
"0",64965,"grande","horizontal","Mural","1","otras","anonimo","1",1125,0,"religioso"
"0",37440,"grande","vertical","Mural","1","otras","anonimo","1",1125,0,"religioso"
"0",17472,"mediano","vertical","Mural","1","otras","anonimo","1",1125,0,"religioso"
"0",45510,"grande","horizontal","Mural","1","otras","anonimo","1",1125,0,"religioso"
"0",11046.6,"mediano","horizontal","Tabla/Panel","0","otras","hombre","0",1205,10,"otros"
"0",43585,"grande","vertical","Mural","1","otras","hombre","0",1208,15,"otros"
"0",12787.77,"mediano","horizontal","Tabla/Panel","0","otras","anonimo","0",1217,32,"religioso"
"0",16100,"mediano","horizontal","Tabla/Panel","0","otras","anonimo","0",1290,19,"otros"
"0",52059.23,"grande","vertical","Tabla/Panel","0","otras","anonimo","0",1290,19,"religioso"
"0",2016,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1345,0,"religioso"
"0",25760,"grande","vertical","Tabla/Panel","0","otras","hombre","0",1358,3,"religioso"
"1",15617,"mediano","vertical","Tabla/Panel","0","otras","hombre","1",1371,28,"religioso"
"1",15617,"mediano","vertical","Tabla/Panel","0","otras","hombre","1",1371,28,"religioso"
"0",25760,"grande","vertical","Tabla/Panel","0","otras","hombre","0",1360,3,"religioso"
"0",19012.92,"grande","vertical","Tabla/Panel","0","otras","hombre","0",1360,3,"religioso"
"0",1856,"pequeno","vertical","Tabla/Panel","0","otras","hombre","0",1365,10,"religioso"
"0",1365,"pequeno","horizontal","Tabla/Panel","0","mixta","hombre","0",1370,0,"religioso"
"0",1365,"pequeno","horizontal","Tabla/Panel","0","mixta","hombre","0",1370,0,"religioso"
"0",1680,"pequeno","vertical","Tabla/Panel","0","otras","anonimo","0",1388,25,"religioso"
"0",14812,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1400,0,"religioso"
"0",10807.26,"mediano","vertical","Tabla/Panel","0","otras","hombre","0",1402,5,"religioso"
"0",20544,"grande","vertical","Tabla/Panel","0","mixta","hombre","0",1408,15,"religioso"
"0",5225,"mediano","vertical","Tabla/Panel","0","otras","hombre","0",1418,34,"religioso"
"0",3504,"pequeno","horizontal","Tabla/Panel","0","oleo","anonimo","0",1450,99,"religioso"
"0",10710,"mediano","vertical","Lienzo","0","oleo","anonimo","0",1450,99,"otros"
"0",446.25,"pequeno","vertical","Tabla/Panel","0","oleo","anonimo","0",1450,99,"religioso"
"0",2580,"pequeno","vertical","Tabla/Panel","1","otras","anonimo","0",1450,99,"religioso"
"0",234,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1450,99,"religioso"
"0",696,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1450,99,"otros"
"0",31515,"grande","vertical","Tabla/Panel","0","mixta","anonimo","0",1450,99,"religioso"
"0",3330,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1500,199,"religioso"
"0",14476,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1500,199,"otros"
"0",1504,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1500,199,"retrato_corte"
"0",13485,"mediano","vertical","Tabla/Panel","0","otras","varios","0",1405,0,"religioso"
"0",1574.5,"pequeno","vertical","Tabla/Panel","0","otras","hombre","0",1406,3,"religioso"
"0",4328.25,"pequeno","vertical","Tabla/Panel","0","otras","hombre","1",1410,0,"religioso"
"0",4477.5,"pequeno","vertical","Tabla/Panel","0","otras","hombre","1",1410,0,"religioso"
"0",560,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1410,0,"religioso"
"0",13440,"mediano","vertical","Tabla/Panel","0","otras","hombre","1",1412,0,"religioso"
"0",24955,"grande","vertical","Tabla/Panel","0","mixta","varios","0",1466,113,"religioso"
"1",25363.25,"grande","vertical","Tabla/Panel","0","otras","hombre","0",1418,7,"religioso"
"0",3494.4,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1415,0,"religioso"
"0",328776,"grande","horizontal","Tabla/Panel","0","otras","hombre","1",1418,5,"retrato_corte"
"0",4278,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1420,2,"religioso"
"0",5320,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1422,5,"religioso"
"0",6776,"mediano","horizontal","Tabla/Panel","0","mixta","hombre","0",1425,10,"religioso"
"0",5133,"mediano","vertical","Tabla/Panel","0","otras","hombre","0",1426,0,"religioso"
"0",5300.4,"mediano","horizontal","Tabla/Panel","0","otras","hombre","0",1426,0,"religioso"
"0",52965.5,"grande","horizontal","Tabla/Panel","0","oleo","hombre","0",1272,341,"religioso"
"0",36442.45,"grande","horizontal","Tabla/Panel","0","otras","hombre","0",1426,1,"religioso"
"0",782,"pequeno","vertical","Tabla/Panel","0","otras","hombre","0",1438,25,"religioso"
"0",782,"pequeno","vertical","Tabla/Panel","0","otras","hombre","0",1438,25,"religioso"
"0",4750,"pequeno","vertical","Tabla/Panel","0","otras","hombre","1",1438,25,"religioso"
"0",4450,"pequeno","vertical","Tabla/Panel","0","otras","hombre","1",1438,25,"religioso"
"0",577.21,"pequeno","horizontal","Tabla/Panel","0","otras","hombre","0",1428,4,"religioso"
"0",8680,"mediano","horizontal","Tabla/Panel","0","otras","hombre","0",1435,0,"otros"
"0",5200,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1436,3,"religioso"
"0",102480,"grande","vertical","Tabla/Panel","0","otras","hombre","0",1438,5,"religioso"
"0",55040,"grande","vertical","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",10452,"mediano","horizontal","Tabla/Panel","0","mixta","hombre","0",1440,0,"religioso"
"0",24038.1,"grande","vertical","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",24150,"grande","vertical","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",9294.13,"mediano","horizontal","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",9253.75,"mediano","horizontal","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",4747,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1438,0,"religioso"
"0",4747,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1438,0,"religioso"
"0",21539,"grande","vertical","Tabla/Panel","0","oleo","hombre","0",1445,10,"otros"
"0",1614.6,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1445,10,"religioso"
"0",20748,"grande","horizontal","Tabla/Panel","0","otras","hombre","0",1446,5,"religioso"
"0",33540,"grande","vertical","Tabla/Panel","0","oleo","hombre","1",1450,0,"religioso"
"0",15015,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1450,0,"religioso"
"0",15015,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1450,0,"religioso"
"0",15015,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1450,0,"proceso_obra"
"0",15015,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1450,0,"proceso_obra"
"0",8342,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1450,0,"religioso"
"0",8320,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1450,0,"religioso"
